S. No,Building Type,Code,Space type,Code 2,Activity Description_eQUEST,Lighting Power density (W/sqft),Lighting Power density (W/sqm),Equipment Power Density (W/sqft),Equipment Power Density (W/sqm),Occupancy (Sqft/person),Occupancy (Sqm/person),Fresh air per person (CFM/person),Fresh air per area (CFM/sqft),Fresh Air (ACH)
1,Automotive,Auto,Service/Repair,Service/Repair,1_Auto_Service/Repair,0.67,,,,,,7.5,0.06,
2,Bank/Office,Bank,BankingActivityArea,BankingActivityArea,2_Bank_BankingActivityArea,1.38,,,,,,7.5,0.06,
3,Convention Center,Conv_Cent,Audience Seating,Audience Seating,3_Conv_Cent_Audience Seating,0.82,,,,,,5,0.06,
4,Convention Center,Conv_Cent, Exhibit Space, Exhibit Space,4_Conv_Cent_ Exhibit Space,1.45,,,,,,5,0.06,
5,Courthouse/PoliceStation/Penitentiary,Police,Courtroom,Courtroom,5_Police_Courtroom,1.72,,,,,,5,0.06,
6,Courthouse/PoliceStation/Penitentiary,Police,ConfinementCells,ConfinementCells,6_Police_ConfinementCells,1.1,,,,,,5,0.06,
7,Courthouse/PoliceStation/Penitentiary,Police,Judges’Chambers,Judges’Chambers,7_Police_Judges’Chambers,1.17,,,,,,5,0.06,
8,Courthouse/PoliceStation/Penitentiary,Police, Penitentiary Audience Seating,Audience Seating,8_Police_Audience Seating,0.43,,,,,,5,0.06,
9,Courthouse/PoliceStation/Penitentiary,Police,Penitentiary Classroom,Classroom,9_Police_Classroom,1.34,,,,,,10,0.12,
10,Courthouse/PoliceStation/Penitentiary,Police, Penitentiary Dining, Penitentiary Dining,10_Police_ Penitentiary Dining,1.07,,,,,,7.5,0.18,
11, Dormitory,Dor,Living Quarters,Living Quarters,11_Dor_Living Quarters,0.38,,,,,,5,0.06,
12, Fire Stations,FireStn, Engine Room, Engine Room,12_FireStn_ Engine Room,0.56,,,,,,5,0.06,
13, Fire Stations,FireStn, Sleeping Quarters, Sleeping Quarters,13_FireStn_ Sleeping Quarters,0.25,,,,,,5,0.06,
14, Gymnasium/FitnessCenter,Gym_Fit, Fitness Area, Fitness Area,14_Gym_Fit_ Fitness Area,0.72,,,,,,0,30,
15, Gymnasium/FitnessCenter,Gym_Fit,Gymnasium Audience Seating,Audience Seating,15_Gym_Fit_Audience Seating,0.43,,,,,,5,0.06,
16, Gymnasium/FitnessCenter,Gym_Fit,Playing Area,Playing Area,16_Gym_Fit_Playing Area,1.2,,,,,,0,30,
